time_us curve_nan curve_nan curve_nan curve_nan curve_nan
1.9172932331e+03 7.7009553986e-01 7.9399592457e-01 8.1743259522e-01 8.1976207926e-01 8.3175005816e-01
1.9360902256e+03 7.6745605649e-01 7.9170170004e-01 8.1548160236e-01 8.1795454081e-01 8.3008054377e-01
1.9548872180e+03 7.6480652954e-01 7.8939890854e-01 8.1352053834e-01 8.1613664455e-01 8.2840030715e-01
1.9736842105e+03 7.6214726827e-01 7.8708775702e-01 8.1154943414e-01 8.1430843697e-01 8.2670931324e-01
1.9924812030e+03 7.5947881479e-01 7.8476844334e-01 8.0956866881e-01 8.1247002921e-01 8.2500773059e-01
2.0112781955e+03 7.5680140124e-01 7.8244146706e-01 8.0757821884e-01 8.1062176889e-01 8.2329574251e-01
2.0300751880e+03 7.5411571810e-01 7.8010686890e-01 8.0557817446e-01 8.0876355382e-01 8.2157344050e-01
2.0488721805e+03 7.5142201649e-01 7.7776500554e-01 8.0356890918e-01 8.0689572377e-01 8.1984103136e-01
2.0676691729e+03 7.4872095498e-01 7.7541619766e-01 8.0155032462e-01 8.0501828795e-01 8.1809860365e-01
2.0864661654e+03 7.4601273483e-01 7.7306052645e-01 7.9952263467e-01 8.0313142462e-01 8.1634634994e-01
2.1052631579e+03 7.4329792955e-01 7.7069842711e-01 7.9748603582e-01 8.0123529161e-01 8.1458432614e-01
2.1240601504e+03 7.4057676777e-01 7.6833000286e-01 7.9544054413e-01 7.9933013795e-01 8.1281273056e-01
2.1428571429e+03 7.3784988223e-01 7.6595573940e-01 7.9338644454e-01 7.9741588511e-01 8.1103171652e-01
2.1616541353e+03 7.3511741302e-01 7.6357567793e-01 7.9132364718e-01 7.9549300317e-01 8.0924137600e-01
2.1804511278e+03 7.3238004259e-01 7.6119004851e-01 7.8925248276e-01 7.9356137698e-01 8.0744192584e-01
2.1992481203e+03 7.2963794100e-01 7.5879910626e-01 7.8717293187e-01 7.9162118558e-01 8.0563337978e-01
2.2180451128e+03 7.2689160873e-01 7.5640318596e-01 7.8508518496e-01 7.8967271924e-01 8.0381598365e-01
2.2368421053e+03 7.2414125907e-01 7.5400220090e-01 7.8298939921e-01 7.8771601355e-01 8.0198993240e-01
2.2556390977e+03 7.2138752814e-01 7.5159671618e-01 7.8088571626e-01 7.8575126296e-01 8.0015521373e-01
2.2744360902e+03 7.1863029394e-01 7.4918670440e-01 7.7877414843e-01 7.8377858530e-01 7.9831212309e-01
2.2932330827e+03 7.1587020514e-01 7.4677238320e-01 7.7665485060e-01 7.8179814787e-01 7.9646063244e-01
2.3120300752e+03 7.1310750666e-01 7.4435403775e-01 7.7452784963e-01 7.7981019063e-01 7.9460099735e-01
2.3308270677e+03 7.1034246660e-01 7.4193177922e-01 7.7239352486e-01 7.7781472290e-01 7.9273338131e-01
2.3496240602e+03 7.0757564019e-01 7.3950587088e-01 7.7025189921e-01 7.7581194896e-01 7.9085790699e-01
2.3684210526e+03 7.0480675063e-01 7.3707636714e-01 7.6810294756e-01 7.7380198362e-01 7.8897461001e-01
2.3872180451e+03 7.0203673098e-01 7.3464347832e-01 7.6594699361e-01 7.7178502842e-01 7.8708380192e-01
2.4060150376e+03 6.9926537311e-01 7.3220732851e-01 7.6378398869e-01 7.6976116840e-01 7.8518550455e-01
2.4248120301e+03 6.9649305825e-01 7.2976824642e-01 7.6161418148e-01 7.6773068733e-01 7.8327983687e-01
2.4436090226e+03 6.9372008150e-01 7.2732613679e-01 7.5943767826e-01 7.6569358539e-01 7.8136697441e-01
2.4624060150e+03 6.9094661205e-01 7.2488136244e-01 7.5725449474e-01 7.6365002067e-01 7.7944707078e-01
2.4812030075e+03 6.8817285427e-01 7.2243387306e-01 7.5506489855e-01 7.6160020391e-01 7.7752038438e-01
2.5000000000e+03 6.8539906450e-01 7.1998387374e-01 7.5286896957e-01 7.5954428152e-01 7.7558678918e-01
2.5187969925e+03 6.8262548105e-01 7.1753155334e-01 7.5066674365e-01 7.5748233327e-01 7.7364661884e-01
2.5375939850e+03 6.7985226731e-01 7.1507691331e-01 7.4845852842e-01 7.5541456329e-01 7.7170000786e-01
2.5563909774e+03 6.7707961678e-01 7.1262010839e-01 7.4624434475e-01 7.5334112410e-01 7.6974698439e-01
2.5751879699e+03 6.7430764103e-01 7.1016144209e-01 7.4402435031e-01 7.5126199670e-01 7.6778766813e-01
2.5939849624e+03 6.7153644692e-01 7.0770079053e-01 7.4179869246e-01 7.4917755104e-01 7.6582239385e-01
2.6127819549e+03 6.6876631156e-01 7.0523832642e-01 7.3956751469e-01 7.4708777820e-01 7.6385114577e-01
2.6315789474e+03 6.6599749029e-01 7.0277404566e-01 7.3733082005e-01 7.4499277907e-01 7.6187400000e-01
2.6503759398e+03 6.6322996358e-01 7.0030836321e-01 7.3508892472e-01 7.4289282152e-01 7.5989134176e-01
2.6691729323e+03 6.6046380313e-01 6.9784104926e-01 7.3284197347e-01 7.4078797297e-01 7.5790301093e-01
2.6879699248e+03 6.5769925241e-01 6.9537246444e-01 7.3058999483e-01 7.3867839528e-01 7.5590928367e-01
2.7067669173e+03 6.5493651233e-01 6.9290238580e-01 7.2833332516e-01 7.3656417142e-01 7.5391025840e-01
2.7255639098e+03 6.5217549116e-01 6.9043126547e-01 7.2607174607e-01 7.3444548314e-01 7.5190608570e-01
2.7443609023e+03 6.4941653498e-01 6.8795892439e-01 7.2380571182e-01 7.3232234697e-01 7.4989694931e-01
2.7631578947e+03 6.4665962031e-01 6.8548552364e-01 7.2153526346e-01 7.3019510134e-01 7.4788291368e-01
2.7819548872e+03 6.4390498550e-01 6.8301125691e-01 7.1926058990e-01 7.2806365765e-01 7.4586404175e-01
2.8007518797e+03 6.4115247369e-01 6.8053592672e-01 7.1698188182e-01 7.2592837281e-01 7.4384057603e-01
2.8195488722e+03 6.3840243279e-01 6.7806009247e-01 7.1469916945e-01 7.2378919095e-01 7.4181268151e-01
2.8383458647e+03 6.3565488584e-01 6.7558337045e-01 7.1241272606e-01 7.2164628188e-01 7.3978032080e-01
2.8571428571e+03 6.3291000795e-01 6.7310606386e-01 7.1012264064e-01 7.1949978035e-01 7.3774369733e-01
2.8759398496e+03 6.3016769337e-01 6.7062835409e-01 7.0782904904e-01 7.1734981796e-01 7.3570308537e-01
2.8947368421e+03 6.2742828634e-01 6.6815009572e-01 7.0553213982e-01 7.1519649228e-01 7.3365836297e-01
2.9135338346e+03 6.2469179058e-01 6.6567156505e-01 7.0323205149e-01 7.1304000578e-01 7.3160983838e-01
2.9323308271e+03 6.2195832660e-01 6.6319282042e-01 7.0092886866e-01 7.1088036675e-01 7.2955751260e-01
2.9511278195e+03 6.1922800326e-01 6.6071381102e-01 6.9862290720e-01 7.0871784736e-01 7.2750154515e-01
2.9699248120e+03 6.1650080962e-01 6.5823475980e-01 6.9631419079e-01 7.0655238435e-01 7.2544215268e-01
2.9887218045e+03 6.1377702067e-01 6.5575571082e-01 6.9400299509e-01 7.0438421844e-01 7.2337928041e-01
3.0075187970e+03 6.1105668000e-01 6.5327683298e-01 6.9168928330e-01 7.0221340659e-01 7.2131323231e-01
