time_us curve_320 curve_640
8.9947704541e+04 1.4541636561e-04 7.9587133016e-04
9.2906544932e+04 1.4533516948e-04 8.2704716029e-04
9.5962716729e+04 1.4017538978e-04 8.0106719718e-04
9.9119421658e+04 1.3729003691e-04 8.1933851289e-04
1.0237996677e+05 1.4475062453e-04 8.1178062777e-04
1.0574776790e+05 1.3292553639e-04 8.3387420499e-04
1.0922635325e+05 1.4080853700e-04 8.2819234892e-04
1.1281936707e+05 1.3973631025e-04 8.1467497610e-04
1.1653057351e+05 1.4254045404e-04 8.1150813717e-04
1.2036386052e+05 1.4240413143e-04 8.0969439355e-04
1.2432324397e+05 1.3696588283e-04 7.9165048969e-04
1.2841287180e+05 1.4407828276e-04 8.3315286351e-04
1.3263702842e+05 1.3805804960e-04 8.6039968028e-04
1.3700013918e+05 1.3997079796e-04 7.9047945555e-04
1.4150677498e+05 1.4273478615e-04 8.1452555413e-04
1.4616165710e+05 1.3954412475e-04 7.8579165318e-04
1.5096966211e+05 1.4688848918e-04 8.0958863562e-04
1.5593582702e+05 1.4674114909e-04 8.0615131533e-04
