time_us curve_1 curve_5 curve_10 curve_30 curve_70 curve_100 curve_1000
8.0451127820e+03 7.0532457673e-01 3.3610508869e-01 1.8140377414e-01 5.0454878725e-02 1.3541479079e-02 7.9391151285e-03 3.6079428860e-04
8.1203007519e+03 7.0199491668e-01 3.3156630219e-01 1.7798443090e-01 4.9180610144e-02 1.3163832988e-02 7.7154706196e-03 3.5387754233e-04
8.1954887218e+03 6.9865974402e-01 3.2708189496e-01 1.7463668368e-01 4.7946145751e-02 1.2800312950e-02 7.5002917383e-03 3.4721190238e-04
8.2706766917e+03 6.9531967969e-01 3.2265141183e-01 1.7135959984e-01 4.6750069108e-02 1.2450458026e-02 7.2932805521e-03 3.4075330630e-04
8.3458646617e+03 6.9197535308e-01 3.1827466625e-01 1.6815199536e-01 4.5590942366e-02 1.2113653538e-02 7.0941368863e-03 3.3450766553e-04
8.4210526316e+03 6.8862730680e-01 3.1395133996e-01 1.6501303476e-01 4.4467354541e-02 1.1789529632e-02 6.9025141658e-03 3.2845608401e-04
8.4962406015e+03 6.8527617625e-01 3.0968099310e-01 1.6194134405e-01 4.3378067942e-02 1.1477583878e-02 6.7181290692e-03 3.2258550601e-04
8.5714285714e+03 6.8192246443e-01 3.0546378534e-01 1.5893605952e-01 4.2321771120e-02 1.1177309388e-02 6.5406467472e-03 3.1688301514e-04
8.6466165414e+03 6.7856668752e-01 3.0129909358e-01 1.5599576928e-01 4.1297354818e-02 1.0888246244e-02 6.3698318687e-03 3.1132888440e-04
8.7218045113e+03 6.7520958109e-01 2.9718676939e-01 1.5311902463e-01 4.0303565628e-02 1.0609916284e-02 6.2053064251e-03 3.0591538934e-04
8.7969924812e+03 6.7185141348e-01 2.9312669865e-01 1.5030481695e-01 3.9339399786e-02 1.0341821515e-02 6.0468638289e-03 3.0064852605e-04
8.8721804511e+03 6.6849314061e-01 2.8911851317e-01 1.4755159720e-01 3.8403794815e-02 1.0083530333e-02 5.8941538177e-03 2.9550738540e-04
8.9473684211e+03 6.6513505180e-01 2.8516214115e-01 1.4485780921e-01 3.7495719264e-02 9.8344781050e-03 5.7469969263e-03 2.9048782963e-04
9.0225563910e+03 6.6177761820e-01 2.8125724332e-01 1.4222205797e-01 3.6614204098e-02 9.5942266620e-03 5.6050594296e-03 2.8557658465e-04
9.0977443609e+03 6.5842157685e-01 2.7740366002e-01 1.3964299014e-01 3.5758319773e-02 9.3623491753e-03 5.4681239763e-03 2.8079249412e-04
9.1729323308e+03 6.5506734921e-01 2.7360084850e-01 1.3711901701e-01 3.4927143821e-02 9.1383595997e-03 5.3359535660e-03 2.7611239633e-04
9.2481203008e+03 6.5171538117e-01 2.6984868724e-01 1.3464881653e-01 3.4119731172e-02 8.9218566107e-03 5.2083430566e-03 2.7154807627e-04
9.3233082707e+03 6.4836619990e-01 2.6614704180e-01 1.3223080601e-01 3.3335380067e-02 8.7123995342e-03 5.0850578740e-03 2.6708690455e-04
9.3984962406e+03 6.4502037873e-01 2.6249536866e-01 1.2986377650e-01 3.2573215333e-02 8.5096732784e-03 4.9659525629e-03 2.6271726833e-04
9.4736842105e+03 6.4167829828e-01 2.5889351035e-01 1.2754631975e-01 3.1832421209e-02 8.3133255258e-03 4.8507576435e-03 2.5844270344e-04
9.5488721805e+03 6.3834043682e-01 2.5534101158e-01 1.2527725648e-01 3.1112350840e-02 8.1230122714e-03 4.7393817677e-03 2.5428496796e-04
9.6240601504e+03 6.3500715507e-01 2.5183752588e-01 1.2305529006e-01 3.0412262840e-02 7.9385172174e-03 4.6316143078e-03 2.5020179570e-04
9.6992481203e+03 6.3167918547e-01 2.4838272280e-01 1.2087936205e-01 2.9731474106e-02 7.7595623287e-03 4.5272973505e-03 2.4621938327e-04
9.7744360902e+03 6.2835662871e-01 2.4497627343e-01 1.1874819591e-01 2.9069430257e-02 7.5859503256e-03 4.4262613517e-03 2.4231801792e-04
9.8496240602e+03 6.2504015340e-01 2.4161772458e-01 1.1666092972e-01 2.8425494789e-02 7.4174227203e-03 4.3283857730e-03 2.3851651114e-04
9.9248120301e+03 6.2172988117e-01 2.3830667547e-01 1.1461651365e-01 2.7799014933e-02 7.2539016266e-03 4.2335379492e-03 2.3479661791e-04
1.0000000000e+04 6.1842654637e-01 2.3504265536e-01 1.1261386670e-01 2.7189580607e-02 7.0951159554e-03 4.1415727628e-03 2.3114974642e-04
1.0075187970e+04 6.1513028041e-01 2.3182542661e-01 1.1065218671e-01 2.6596459741e-02 6.9410116688e-03 4.0523337427e-03 2.2761066116e-04
1.0150375940e+04 6.1184152303e-01 2.2865445683e-01 1.0873056914e-01 2.6019311745e-02 6.7914069145e-03 3.9657283795e-03 2.2414052392e-04
1.0225563910e+04 6.0856058155e-01 2.2552927695e-01 1.0684805441e-01 2.5457641243e-02 6.6462001422e-03 3.8816399964e-03 2.2074692923e-04
1.0300751880e+04 6.0528795209e-01 2.2244957541e-01 1.0500374870e-01 2.4910894448e-02 6.5052214869e-03 3.7999600588e-03 2.1742524420e-04
1.0375939850e+04 6.0202371633e-01 2.1941484324e-01 1.0319695726e-01 2.4378679017e-02 6.3684644338e-03 3.7205890336e-03 2.1416522673e-04
1.0451127820e+04 5.9876837579e-01 2.1642467036e-01 1.0142663343e-01 2.3860559555e-02 6.2356774578e-03 3.6434463970e-03 2.1100009442e-04
